id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
119542,WOOD,GEORGE FLEMING,G F,27,M M,29/04/1918,,Private,Northumberland Fusiliers,,1st Bn.,France,'14770',PERNES BRITISH CEMETERY,II. A. 20.,"Son of Archibald and Elizabeth Wood, of Bathgate, West Lothian."
119543,WOOD,,R J,,,10/05/1918,,Private,Northumberland Fusiliers,,8th Bn.,France,'267874',PERNES BRITISH CEMETERY,II. B. 33.,
119544,WOOD,STANLEY,S,20,,19/05/1918,,Private,Somerset Light Infantry,,1st Bn.,France,'25887',PERNES BRITISH CEMETERY,I. F. 10.,"Son of William and Alice Wood, of 7, Florence Terrace, Bishop's Hull, Taunton, Somerset."
119545,WOOD,WILLIAM HENRY JAMES,W H J,,,20/05/1918,,Gunner,Royal Garrison Artillery,,151st Siege Bty.,France,'31301',PERNES BRITISH CEMETERY,I. F. 7.,"Husband of Phyllis Irene Wood, of 145, Gates Avenue, Brooklyn, New York, U.S.A."
120536,WOOD,,A E,,,01/09/1917,,Private,Lincolnshire Regiment,,2nd Bn.,France,'203437',"MONT HUON MILITARY CEMETERY, LE TREPORT",IV. M. 13B.,
120537,WOOD,FREDERICK,F,17,,26/07/1916,,Private,London Regiment (Royal Fusiliers),,"""B"" Coy  1st/4th Bn",France,'4424',"MONT HUON MILITARY CEMETERY, LE TREPORT",II. C. 11.,"Son of James and Mary Ann Wood, of 179, Glenarm Rd., Clapton Park, London."
120538,WOOD,GEORGE HENRY,G H,32,,28/03/1918,,Private,Machine Gun Corps,,51st Bn.,France,'97530',"MONT HUON MILITARY CEMETERY, LE TREPORT",VI. G. 1A.,"Husband of P. Wood, of 21, Grove St., Wellingborough."
120539,WOOD,HAROLD CARRUTHERS,H C,38,,14/11/1916,,Private,"Australian Infantry, A.I.F.",,20th Bn.,France,'1020',"MONT HUON MILITARY CEMETERY, LE TREPORT",II. G. 10.,"Son of the late James and Sarah Ann Wood. Native of Jamberoo, Illawarra, New South Wales."
120540,WOOD,HERBERT,H,28,,15/05/1918,,Private,North Staffordshire Regiment,,9th Bn.,France,'13480',"MONT HUON MILITARY CEMETERY, LE TREPORT",V. H. 3A.,"Son of Henry and Ann Wood, of Catshill, Worcestershire."
120541,WOOD,HERBERT JAMES,H J,25,,03/04/1918,,Private,Queen's Own (Royal West Kent Regiment),,8th Bn.,France,'10673',"MONT HUON MILITARY CEMETERY, LE TREPORT",VI. G. 14B.,"Only son of Mr. and Mrs. J. J. Wood, of 69, St. John's Rd., Deptford; husband of Beatrice M. Wood, of 7, Arabin Rd., Brockley, London. Native of Veptford, London."
120542,WOOD,JOSEPH,J,38,,29/09/1918,,Sapper,Royal Engineers,,126th Field Coy.,France,'216313',"MONT HUON MILITARY CEMETERY, LE TREPORT",VIII. G. 6A.,
120543,WOOD,,J,,,17/03/1917,,Private,Royal Fusiliers,,11th Bn.,France,'51746',"MONT HUON MILITARY CEMETERY, LE TREPORT",IV. C. 3.,
